:START_ID(Page);:END_ID(Page)
12;192
12;201
12;34
12;193
10;188
29;177
11;130
11;5
11;73
11;42
11;178
11;183
22;161
22;105
22;110
22;178
22;50
22;83
25;104
25;0
4;110
2;104
2;23
21;4

8;51
8;7

14;73

16;82
23;201
23;2
23;12
23;191


28;192
28;178
28;44
6;2
6;23
20;41
20;2
20;43
24;34
9;2
9;164
9;104
9;81
9;178

19;48
5;73
5;11
5;59

26;8
26;139
0;104
0;25
0;2
0;141


44;178
44;131
44;28
77;178



50;30
51;161
51;83
34;24
34;110





76;53
74;83



71;84

55;164
55;5

52;32
52;164
52;30
52;47
59;5

92;78
78;80
78;84
78;92
80;96
80;78

97;121
97;2
97;1
97;70
97;102
97;8
97;136
97;13
97;113
97;148
97;153
97;123
97;188
73;130
73;164
73;229
73;143
73;178
70;153
43;2
43;50

40;168
40;178
40;2


42;28
68;42
68;155


81;0
81;96
81;133
81;141
81;82
81;93
81;158

75;105
56;141
84;81
84;110
63;67
63;191
58;84
62;58
35;58
88;32
88;34
88;58
36;58
64;58
95;88
95;58
31;4
31;110
66;67
47;178
47;50
47;51

69;50
67;153
67;161
67;149
96;104
32;73
32;28
82;178
37;172
93;104
93;178
93;148
93;244
48;177

49;0
49;2
49;164
49;10
49;175

87;2
87;164

105;84
105;110

172;19
172;191
172;179
172;55



134;202
134;188
104;0
104;96
104;2
104;164
104;141
104;46
104;81
104;25

114;177
165;194
165;147
147;194
147;165
107;186
152;185
152;107
177;29


150;90
150;35
150;60
150;39
106;65
106;90
106;183
139;26

133;104
133;141
178;96
178;130
178;9
178;82
178;188
178;28
178;93
140;8

131;61
131;44
131;141

132;191

158;141
158;111
137;175


126;242
127;237
127;110
149;110
166;154
141;133
141;104
141;81
141;178
141;93
141;158
159;5
159;123
159;4
159;133
138;105

110;75
110;84
110;4
110;22
175;164
151;81
151;141
146;8
146;126
168;40
168;139
164;96
164;104
164;141
164;49
164;251
164;158


130;73
130;178
130;229
130;143
143;178
143;73
143;130
143;229




174;176
174;3

120;251
161;2
102;97
102;51
102;70
123;113
123;34
123;148
123;70
148;123
148;70
136;97
136;70
156;123
156;148
156;53
156;70
121;70
153;226
153;67
153;100
153;70
153;102
153;43
153;83
153;61
155;34
113;102
113;70
113;52
113;53
113;59

129;58
129;60
129;28
129;87

111;158



124;162
124;188


191;2
191;67
183;11
240;23

209;156
195;34
195;84
195;199

217;164

186;107
186;171

229;96
229;73
229;130
229;178

219;230

234;241
234;178
179;172


192;204
192;12
192;28
197;232
197;196
204;192

226;0


232;196
232;197
196;232
196;139
196;197
210;227
210;207
210;239
210;22
210;221
223;109
223;211
223;212
223;248
223;250
223;93
181;178
207;32
207;135
207;105
207;110
207;31
221;110
221;238
227;4
227;105
227;12
227;110
227;84
239;67
239;125
212;22

188;76
188;53
233;34
233;84
233;20


250;135
250;105
250;110
250;175
214;177


222;105
222;201
222;12
222;23
211;110
211;19
211;164
211;22
198;105
220;67
220;63



202;34
202;84


184;48

190;129

216;192
200;172
180;178
180;188
182;195
243;83
243;195
187;209
187;195
199;195
189;164
189;28
189;109
244;148
244;93
235;81
235;155
235;93
225;93
225;133
245;93
245;133
238;9
